lyric,album_title,year,track_title,track_number,lyric_normalized,lyric_nostop,lyric_lemma
"A witnessed the beauty of the beast""",Century Child,2002,Bless The Child,1,a witnessed the beauty of the beast,witnessed beauty beast,witness beauty beast
Where have all the feelings gone?,Century Child,2002,Bless The Child,1,where have all the feelings gone,feelings gone,feeling go
Why has all the laughter ceased?,Century Child,2002,Bless The Child,1,why has all the laughter ceased,laughter ceased,laughter cease
Why am I loved only when I'm gone?,Century Child,2002,Bless The Child,1,why am i loved only when i am gone,loved gone,love go
Gone back in time to bless the child,Century Child,2002,Bless The Child,1,gone back in time to bless the child,gone time bless child,go time bless child
Think of me long enough to make a memory,Century Child,2002,Bless The Child,1,think of me long enough to make a memory,think long memory,think long memory
Come bless the child one more time,Century Child,2002,Bless The Child,1,come bless the child one more time,come bless child time,come bless child time
How can I ever feel again?,Century Child,2002,Bless The Child,1,how can i ever feel again,feel,feel
Given the chance would I return?,Century Child,2002,Bless The Child,1,given the chance would i return,given chance return,give chance return
I've never felt so alone in my life,Century Child,2002,Bless The Child,1,i have never felt so alone in my life,felt life,feel life
As I drank from a cup which was counting my time,Century Child,2002,Bless The Child,1,as i drank from a cup which was counting my time,drank cup counting time,drank cup counting time
There's a poison drop in this cup of Man,Century Child,2002,Bless The Child,1,there is a poison drop in this cup of man,poison drop cup man,poison drop cup man
To drink it is to follow the left hand path,Century Child,2002,Bless The Child,1,to drink it is to follow the left hand path,drink follow left hand path,drink follow left hand path
"""Where have all the feelings gone?",Century Child,2002,Bless The Child,1,where have all the feelings gone,feelings gone,feeling go
Why is the deadliest sin - to love as I loved you?,Century Child,2002,Bless The Child,1,why is the deadliest sin to love as i loved you,deadliest sin love loved,deadly sin love love
"Now unblessed, homesick in time,",Century Child,2002,Bless The Child,1,now blessed homesick in time,blessed homesick time,bless homesick time
"soon to be freed from care, from human pain.",Century Child,2002,Bless The Child,1,soon to be freed from care from human pain,soon freed care human pain,soon free care human pain
My tale is the most bitter truth:,Century Child,2002,Bless The Child,1,my tale is the most bitter truth,tale bitter truth,tale bitter truth
"Time pays us but with earth & dust, and a dark, silent grave.",Century Child,2002,Bless The Child,1,time pays us but with earth dust and a dark silent grave,time pays earth dust dark silent grave,time pay earth dust dark silent grave
"Remember, my child: Without innocence the cross is only iron,",Century Child,2002,Bless The Child,1,remember my child without innocence the cross is only iron,remember child innocence cross iron,remember child innocence cross iron
hope is only an illusion & Ocean Soul's nothing but a name...,Century Child,2002,Bless The Child,1,hope is only an illusion ocean soul s nothing but a name,hope illusion ocean soul s,hope illusion ocean soul s
"The Child bless thee & keep thee forever""",Century Child,2002,Bless The Child,1,the child bless thee keep thee forever,child bless thee thee forever,child bless thee thee forever
It is the end of all hope,Century Child,2002,End Of All Hope,2,it is the end of all hope,end hope,end hope
"To lose the child, the faith",Century Child,2002,End Of All Hope,2,to lose the child the faith,lose child faith,lose child faith
To end all the innocence,Century Child,2002,End Of All Hope,2,to end all the innocence,end innocence,end innocence
To be someone like me,Century Child,2002,End Of All Hope,2,to be someone like me,like,like
This is the birth of all hope,Century Child,2002,End Of All Hope,2,this is the birth of all hope,birth hope,birth hope
To have what I once had,Century Child,2002,End Of All Hope,2,to have what i once had,,
This life unforgiven,Century Child,2002,End Of All Hope,2,this life unforgiven,life unforgiven,life unforgiven
It will end with a birth,Century Child,2002,End Of All Hope,2,it will end with a birth,end birth,end birth
No will to wake for this morn,Century Child,2002,End Of All Hope,2,no will to wake for this morn,wake morn,wake morn
To see another black rose born,Century Child,2002,End Of All Hope,2,to see another black rose born,black rose born,black rise bear
Deathbed is slowly covered with snow,Century Child,2002,End Of All Hope,2,deathbed is slowly covered with snow,deathbed slowly covered snow,deathbed slowly cover snow
"Angels, they fell first but I'm still here",Century Child,2002,End Of All Hope,2,angels they fell first but i am still here,angels fell,angel fall
Alone as they are drawing near,Century Child,2002,End Of All Hope,2,alone as they are drawing near,drawing near,draw near
In heaven my masterpiece will finally be sung,Century Child,2002,End Of All Hope,2,in heaven my masterpiece will finally be sung,heaven masterpiece finally sung,heaven masterpiece finally sing
Wounded is the deer that leaps highest,Century Child,2002,End Of All Hope,2,wounded is the deer that leaps highest,wounded deer leaps highest,wound deer leap high
And my wound it cuts so deep,Century Child,2002,End Of All Hope,2,and my wound it cuts so deep,wound cuts deep,wound cut deep
Turn off the light and let me pull the plug,Century Child,2002,End Of All Hope,2,turn off the light and let me pull the plug,turn light let pull plug,turn light let pull plug
Mandylion without a face,Century Child,2002,End Of All Hope,2,dandelion without a face,dandelion face,dandelion face
Deathwish without a prayer,Century Child,2002,End Of All Hope,2,deathwish without a prayer,deathwish prayer,deathwish prayer
End of hope,Century Child,2002,End Of All Hope,2,end of hope,end hope,end hope
End of love,Century Child,2002,End Of All Hope,2,end of love,end love,end love
End of time,Century Child,2002,End Of All Hope,2,end of time,end time,end time
The rest is silence,Century Child,2002,End Of All Hope,2,the rest is silence,rest silence,rest silence
All the same take me away,Century Child,2002,Dead To The World,3,all the same take me away,away,away
We're dead to the world,Century Child,2002,Dead To The World,3,we are dead to the world,dead world,dead world
The child gave thought to the poet's world,Century Child,2002,Dead To The World,3,the child gave thought to the poet s world,child gave thought poet s world,child give think poet s world
Gave comfort to the Fallen,Century Child,2002,Dead To The World,3,gave comfort to the fallen,gave comfort fallen,give comfort fall
"(Heartfelt, lovelorn)",Century Child,2002,Dead To The World,3,heartfelt lovelorn,heartfelt lovelorn,heartfelt lovelorn
"Remaining, yet still uninvited",Century Child,2002,Dead To The World,3,remaining yet still uninvited,remaining uninvited,remain uninvited
Those words scented my soul,Century Child,2002,Dead To The World,3,those words scented my soul,words scented soul,word scented soul
"(Lonely soul, Ocean soul)",Century Child,2002,Dead To The World,3,lonely soul ocean soul,lonely soul ocean soul,lonely soul ocean soul
It's not the monsters under your bed,Century Child,2002,Dead To The World,3,it is not the monsters under your bed,monsters bed,monster bed
It is the Man next door,Century Child,2002,Dead To The World,3,it is the man next door,man door,man door
"That makes you fear, makes you cry,",Century Child,2002,Dead To The World,3,that makes you fear makes you cry,makes fear makes cry,make fear make cry
Makes you cry for the child,Century Child,2002,Dead To The World,3,makes you cry for the child,makes cry child,make cry child
All the wars are fought among those lonely men,Century Child,2002,Dead To The World,3,all the wars are fought among those lonely men,wars fought lonely men,wars fight lonely man
"Unarmed, unscarred",Century Child,2002,Dead To The World,3,unarmed unscarred,unarmed unscarred,unarmed unscarred
I don't want to die a scarless man,Century Child,2002,Dead To The World,3,i do not want to die a scarlets man,want die scarlets man,want die scarlets man
A lonely soul,Century Child,2002,Dead To The World,3,a lonely soul,lonely soul,lonely soul
(Tell me now what to do),Century Child,2002,Dead To The World,3,tell me now what to do,tell,tell
I studied silence to learn the music,Century Child,2002,Dead To The World,3,i studied silence to learn the music,studied silence learn music,study silence learn music
I joined the sinful to regain innocence,Century Child,2002,Dead To The World,3,i joined the sinful to regain innocence,joined sinful regain innocence,join sinful regain innocence
"Heaven queen, cover me",Century Child,2002,Dead To The World,3,heaven queen cover me,heaven queen cover,heaven queen cover
In all that blue,Century Child,2002,Dead To The World,3,in all that blue,blue,blue
"Little boy, such precious joy",Century Child,2002,Dead To The World,3,little boy such precious joy,little boy precious joy,little boy precious joy
Is dead to the world,Century Child,2002,Dead To The World,3,is dead to the world,dead world,dead world
"Heaven queen, carry me",Century Child,2002,Dead To The World,3,heaven queen carry me,heaven queen carry,heaven queen carry
Away from all pain,Century Child,2002,Dead To The World,3,away from all pain,away pain,away pain
All the same take me away,Century Child,2002,Dead To The World,3,all the same take me away,away,away
We're dead to the world,Century Child,2002,Dead To The World,3,we are dead to the world,dead world,dead world
"Dead, silent, constant",Century Child,2002,Dead To The World,3,dead silent constant,dead silent constant,dead silent constant
Yet always changing,Century Child,2002,Dead To The World,3,yet always changing,changing,change
- My favorite view of this world,Century Child,2002,Dead To The World,3,my favorite view of this world,favorite view world,favorite view world
"As he died, he will return to die in me again",Century Child,2002,Dead To The World,3,as he died he will return to die in me again,died return die,die return die
"Weaving the cloth, giving birth to the Century Child",Century Child,2002,Dead To The World,3,weaving the cloth giving birth to the century child,weaving cloth giving birth century child,weave cloth give birth century child
Who gave his life not for the world but for me,Century Child,2002,Dead To The World,3,who gave his life not for the world but for me,gave life world,give life world
Innocence reborn once more,Century Child,2002,Dead To The World,3,innocence reborn once more,innocence reborn,innocence reborn
Ever felt away with me,Century Child,2002,Ever Dream,4,ever felt away with me,felt away,feel away
Just once that all I need,Century Child,2002,Ever Dream,4,just once that all i need,need,need
Entwined in finding you one day,Century Child,2002,Ever Dream,4,entwined in finding you one day,entwined finding day,entwine find day
Ever felt away without me,Century Child,2002,Ever Dream,4,ever felt away without me,felt away,feel away
"My love, it lies so deep",Century Child,2002,Ever Dream,4,my love it lies so deep,love lies deep,love lie deep
Ever dream of me,Century Child,2002,Ever Dream,4,ever dream of me,dream,dream
Would you do it with me,Century Child,2002,Ever Dream,4,would you do it with me,,
Heal the scars and change the stars,Century Child,2002,Ever Dream,4,heal the scars and change the stars,heal scars change stars,heal scar change star
Would you do it for me,Century Child,2002,Ever Dream,4,would you do it for me,,
Turn loose the heaven within,Century Child,2002,Ever Dream,4,turn loose the heaven within,turn loose heaven,turn loose heaven
I'd take you away,Century Child,2002,Ever Dream,4,i would take you away,away,away
Castaway on a lonely day,Century Child,2002,Ever Dream,4,castaway on a lonely day,castaway lonely day,castaway lonely day
Bosom for a teary cheek,Century Child,2002,Ever Dream,4,bosom for a tears cheek,bosom tears cheek,bosom tear cheek
My song can but borrow your grace,Century Child,2002,Ever Dream,4,my song can but borrow your grace,song borrow grace,song borrow grace
"Come out, come out wherever you are",Century Child,2002,Ever Dream,4,come out come out wherever you are,come come,come come
So lost in your sea,Century Child,2002,Ever Dream,4,so lost in your sea,lost sea,lose sea
"Give in, give in for my touch",Century Child,2002,Ever Dream,4,give in give in for my touch,touch,touch
For my taste for my lust,Century Child,2002,Ever Dream,4,for my taste for my lust,taste lust,taste lust
Your beauty cascaded on me,Century Child,2002,Ever Dream,4,your beauty cascaded on me,beauty cascaded,beauty cascade
In this white night fantasy,Century Child,2002,Ever Dream,4,in this white night fantasy,white night fantasy,white night fantasy
"""All I ever craved were the two dreams I shared with you.",Century Child,2002,Ever Dream,4,all i ever craved were the two dreams i shared with you,craved dreams shared,craved dream share
"One I now have, will the other one ever dream remain.",Century Child,2002,Ever Dream,4,one i now have will the other one ever dream remain,dream remain,dream remain
"For yours I truly wish to be.""",Century Child,2002,Ever Dream,4,for yours i truly wish to be,truly wish,truly wish
I'm a priest for the poorest sacrifice,Century Child,2002,Slaying The Dreamer,5,i am a priest for the poorest sacrifice,priest poorest sacrifice,priest poor sacrifice
I'm but a raft in a sea of sorrow and greed,Century Child,2002,Slaying The Dreamer,5,i am but a raft in a sea of sorrow and greed,raft sea sorrow greed,raft sea sorrow greed
You bathed in my wine,Century Child,2002,Slaying The Dreamer,5,you bathed in my wine,bathed wine,bathe wine
"Drank from my cup, mocked my rhyme",Century Child,2002,Slaying The Dreamer,5,drank from my cup mocked my rhyme,drank cup mocked rhyme,drank cup mock rhyme
Your slit tongues licked my aching wounds,Century Child,2002,Slaying The Dreamer,5,your slit tongues licked my aching wounds,slit tongues licked aching wounds,slit tongue lick ache wound
Put a stake through my heart!,Century Child,2002,Slaying The Dreamer,5,put a stake through my heart,stake heart,stake heart
And drag me into sunlight,Century Child,2002,Slaying The Dreamer,5,and drag me into sunlight,drag sunlight,drag sunlight
So awake for your greed,Century Child,2002,Slaying The Dreamer,5,so awake for your greed,awake greed,awake greed
As you're slaying the dreamer,Century Child,2002,Slaying The Dreamer,5,as you are slaying the dreamer,slaying dreamer,slay dreamer
Swansong for the Wish of Night,Century Child,2002,Slaying The Dreamer,5,swansong for the wish of night,swansong wish night,swansong wish night
"God it hurts, give a name to the pain",Century Child,2002,Slaying The Dreamer,5,god it hurts give a name to the pain,god hurts pain,god hurt pain
Our primrose path to hell is growing weed,Century Child,2002,Slaying The Dreamer,5,our primrose path to hell is growing weed,primrose path hell growing weed,primrose path hell grow weed
"Blame me, it's me",Century Child,2002,Slaying The Dreamer,5,blame me it is me,blame,blame
"Coward, a good-for-nothing scapegoat",Century Child,2002,Slaying The Dreamer,5,coward a good for nothing scapegoat,coward good scapegoat,coward good scapegoat
"Dumb kid, living a dream",Century Child,2002,Slaying The Dreamer,5,dumb kid living a dream,dumb kid living dream,dumb kid living dream
Romantic only on paper,Century Child,2002,Slaying The Dreamer,5,romantic only on paper,romantic paper,romantic paper
Tell me why you took all that was mine!,Century Child,2002,Slaying The Dreamer,5,tell me why you took all that was mine,tell took,tell take
Stay as you lay - don't lead me astray!,Century Child,2002,Slaying The Dreamer,5,stay as you lay do not lead me astray,stay lay lead astray,stay lay lead astray
"Wake up, mow the weed",Century Child,2002,Slaying The Dreamer,5,wake up mow the weed,wake mow weed,wake mow weed
You'd be nothing without me,Century Child,2002,Slaying The Dreamer,5,you would be nothing without me,,
Take my life if you have the heart to die,Century Child,2002,Slaying The Dreamer,5,take my life if you have the heart to die,life heart die,life heart die
You bastards tainted my tool,Century Child,2002,Slaying The Dreamer,5,you bastards tainted my tool,bastards tainted tool,bastards tainted tool
"Raped my words, played me a fool",Century Child,2002,Slaying The Dreamer,5,raped my words played me a fool,raped words played fool,rape word play fool
Gather your precious glitter and leave me be,Century Child,2002,Slaying The Dreamer,5,gather your precious glitter and leave me be,gather precious glitter leave,gather precious glitter leave
The Great Ones are all dead,Century Child,2002,Slaying The Dreamer,5,the great ones are all dead,great ones dead,great one dead
"And I'm tired, too",Century Child,2002,Slaying The Dreamer,5,and i am tired too,tired,tired
I truly hate you all!,Century Child,2002,Slaying The Dreamer,5,i truly hate you all,truly hate,truly hate
"Fare thee well, little broken heart",Century Child,2002,Forever Yours,6,fare thee well little broken heart,fare thee little broken heart,fare thee little broken heart
"Downcast eyes, lifetime loneliness",Century Child,2002,Forever Yours,6,downcast eyes lifetime loneliness,downcast eyes lifetime loneliness,downcast eye lifetime loneliness
Whatever walks in my heart will walk alone,Century Child,2002,Forever Yours,6,whatever walks in my heart will walk alone,walks heart walk,walk heart walk
Constant longing for the perfect soul,Century Child,2002,Forever Yours,6,constant longing for the perfect soul,constant longing perfect soul,constant longing perfect soul
Unwashed scenery forever gone,Century Child,2002,Forever Yours,6,unwashed scenery forever gone,unwashed scenery forever gone,unwashed scenery forever go
No love left in me,Century Child,2002,Forever Yours,6,no love left in me,love left,love leave
No eyes to see the heaven beside me,Century Child,2002,Forever Yours,6,no eyes to see the heaven beside me,eyes heaven,eye heaven
My time is yet to come,Century Child,2002,Forever Yours,6,my time is yet to come,time come,time come
So I'll be forever yours,Century Child,2002,Forever Yours,6,so i will be forever yours,forever,forever
One more night,Century Child,2002,Ocean Soul,7,one more night,night,night
To bear this nightmare,Century Child,2002,Ocean Soul,7,to bear this nightmare,bear nightmare,bear nightmare
What more do I have to say,Century Child,2002,Ocean Soul,7,what more do i have to say,,
Crying for me was never worth a tear,Century Child,2002,Ocean Soul,7,crying for me was never worth a tear,crying worth tear,cry worth tear
My lonely soul is only filled with fear,Century Child,2002,Ocean Soul,7,my lonely soul is only filled with fear,lonely soul filled fear,lonely soul fill fear
Long hours of loneliness,Century Child,2002,Ocean Soul,7,long hours of loneliness,long hours loneliness,long hour loneliness
Between me and the sea,Century Child,2002,Ocean Soul,7,between me and the sea,sea,sea
Losing emotion,Century Child,2002,Ocean Soul,7,losing emotion,losing emotion,lose emotion
Finding devotion,Century Child,2002,Ocean Soul,7,finding devotion,finding devotion,find devotion
Should I dress in white and search the sea,Century Child,2002,Ocean Soul,7,should i dress in white and search the sea,dress white search sea,dress white search sea
As I always wished to be - one with the waves,Century Child,2002,Ocean Soul,7,as i always wished to be one with the waves,wished waves,wish wave
Ocean Soul,Century Child,2002,Ocean Soul,7,ocean soul,ocean soul,ocean soul
Walking the tideline,Century Child,2002,Ocean Soul,7,walking the tideline,walking tideline,walk tideline
I hear your name,Century Child,2002,Ocean Soul,7,i hear your name,hear,hear
Is angels wispering,Century Child,2002,Ocean Soul,7,is angels whispering,angels whispering,angel whisper
Something so beautiful it hurts,Century Child,2002,Ocean Soul,7,something so beautiful it hurts,beautiful hurts,beautiful hurt
I only wished to become something beautiful,Century Child,2002,Ocean Soul,7,i only wished to become something beautiful,wished beautiful,wish beautiful
"Through my music, through my silent devotion",Century Child,2002,Ocean Soul,7,through my music through my silent devotion,music silent devotion,music silent devotion
You were my first love,Century Child,2002,Feel For You,8,you were my first love,love,love
The earth moving under me,Century Child,2002,Feel For You,8,the earth moving under me,earth moving,earth move
"Bedroom scent, beauty ardent",Century Child,2002,Feel For You,8,bedroom scent beauty ardent,bedroom scent beauty ardent,bedroom scent beauty ardent
"Distant shiver, heaven sent",Century Child,2002,Feel For You,8,distant shiver heaven sent,distant shiver heaven sent,distant shiver heaven send
I'm the snow on your lips,Century Child,2002,Feel For You,8,i am the snow on your lips,snow lips,snow lip
"The freezing taste, the silvery sip",Century Child,2002,Feel For You,8,the freezing taste the silvery sip,freezing taste silvery sip,freeze taste silvery sip
I'm the breath on your hair,Century Child,2002,Feel For You,8,i am the breath on your hair,breath hair,breath hair
"The endless nightmare, devil's lair",Century Child,2002,Feel For You,8,the endless nightmare devil s lair,endless nightmare devil s lair,endless nightmare devil s lair
Only so many times,Century Child,2002,Feel For You,8,only so many times,times,time
I can say I long for you,Century Child,2002,Feel For You,8,i can say i long for you,long,long
The lily among the thorns,Century Child,2002,Feel For You,8,the lily among the thorns,lily thorns,lily thorn
The prey among the wolves,Century Child,2002,Feel For You,8,the prey among the wolves,prey wolves,prey wolf
"Someday, I will feed a snake",Century Child,2002,Feel For You,8,someday i will feed a snake,someday feed snake,someday feed snake
"Drink her venom, stay awake",Century Child,2002,Feel For You,8,drink her venom stay awake,drink venom stay awake,drink venom stay awake
With time all pain will fade,Century Child,2002,Feel For You,8,with time all pain will fade,time pain fade,time pain fade
Through your memory I will wade,Century Child,2002,Feel For You,8,through your memory i will wade,memory wade,memory wade
Barely cold in her grave,Century Child,2002,Feel For You,8,barely cold in her grave,barely cold grave,barely cold grave
Barely warm in my bed,Century Child,2002,Feel For You,8,barely warm in my bed,barely warm bed,barely warm bed
Settling for a draw tonight,Century Child,2002,Feel For You,8,settling for a draw tonight,settling draw tonight,settle draw tonight
"Puppet girl, your strings are mine",Century Child,2002,Feel For You,8,puppet girl your strings are mine,puppet girl strings,puppet girl string
This one is for you for you,Century Child,2002,Feel For You,8,this one is for you for you,,
Only for you,Century Child,2002,Feel For You,8,only for you,,
Just give in to it never think again,Century Child,2002,Feel For You,8,just give in to it never think again,think,think
I feel for you,Century Child,2002,Feel For You,8,i feel for you,feel,feel
In sleep he sang to me,Century Child,2002,The Phantom Of The Opera,9,in sleep he sang to me,sleep sang,sleep sing
In dreams he came,Century Child,2002,The Phantom Of The Opera,9,in dreams he came,dreams came,dream come
That voice which calls to me,Century Child,2002,The Phantom Of The Opera,9,that voice which calls to me,voice calls,voice call
And speaks my name,Century Child,2002,The Phantom Of The Opera,9,and speaks my name,speaks,speak
And do I dream again,Century Child,2002,The Phantom Of The Opera,9,and do i dream again,dream,dream
For now I find,Century Child,2002,The Phantom Of The Opera,9,for now i find,find,find
The Phantom of the opera is there,Century Child,2002,The Phantom Of The Opera,9,the phantom of the opera is there,phantom opera,phantom opera
Inside my mind,Century Child,2002,The Phantom Of The Opera,9,inside my mind,inside mind,inside mind
Sing once again with me,Century Child,2002,The Phantom Of The Opera,9,sing once again with me,sing,sing
Our strange duet,Century Child,2002,The Phantom Of The Opera,9,our strange duet,strange duet,strange duet
My power over you,Century Child,2002,The Phantom Of The Opera,9,my power over you,power,power
Grows stronger yet,Century Child,2002,The Phantom Of The Opera,9,grows stronger yet,grows stronger,grow strong
And though you turn from me,Century Child,2002,The Phantom Of The Opera,9,and though you turn from me,turn,turn
To glance behind,Century Child,2002,The Phantom Of The Opera,9,to glance behind,glance,glance
The Phantom of the opera is there,Century Child,2002,The Phantom Of The Opera,9,the phantom of the opera is there,phantom opera,phantom opera
Inside your mind,Century Child,2002,The Phantom Of The Opera,9,inside your mind,inside mind,inside mind
Those who have seen your face,Century Child,2002,The Phantom Of The Opera,9,those who have seen your face,seen face,see face
Draw back in fear,Century Child,2002,The Phantom Of The Opera,9,draw back in fear,draw fear,draw fear
I am the mask you wear,Century Child,2002,The Phantom Of The Opera,9,i am the mask you wear,mask wear,mask wear
It's me they hear,Century Child,2002,The Phantom Of The Opera,9,it is me they hear,hear,hear
My/your spirit and your/my voice,Century Child,2002,The Phantom Of The Opera,9,my your spirit and your my voice,spirit voice,spirit voice
In one combined,Century Child,2002,The Phantom Of The Opera,9,in one combined,combined,combine
The phantom of the opera is there,Century Child,2002,The Phantom Of The Opera,9,the phantom of the opera is there,phantom opera,phantom opera
Inside your/my mind,Century Child,2002,The Phantom Of The Opera,9,inside your my mind,inside mind,inside mind
He's there the Phantom of the opera,Century Child,2002,The Phantom Of The Opera,9,he is there the phantom of the opera,phantom opera,phantom opera
Beware the Phantom of the opera,Century Child,2002,The Phantom Of The Opera,9,beware the phantom of the opera,beware phantom opera,beware phantom opera
In all your fantasies,Century Child,2002,The Phantom Of The Opera,9,in all your fantasies,fantasies,fantasy
You always knew,Century Child,2002,The Phantom Of The Opera,9,you always knew,knew,know
That man and mystery,Century Child,2002,The Phantom Of The Opera,9,that man and mystery,man mystery,man mystery
Were both in you,Century Child,2002,The Phantom Of The Opera,9,were both in you,,
And in this labyrinth,Century Child,2002,The Phantom Of The Opera,9,and in this labyrinth,labyrinth,labyrinth
Where night is blind,Century Child,2002,The Phantom Of The Opera,9,where night is blind,night blind,night blind
The phantom of the opera is there,Century Child,2002,The Phantom Of The Opera,9,the phantom of the opera is there,phantom opera,phantom opera
Inside your/my mind,Century Child,2002,The Phantom Of The Opera,9,inside your my mind,inside mind,inside mind
Sing my angel of music,Century Child,2002,The Phantom Of The Opera,9,sing my angel of music,sing angel music,sing angel music
"Trees have dropped their leaves,",Century Child,2002,Beauty Of The Beast,10,trees have dropped their leaves,trees dropped leaves,tree drop leave
Clouds their waters,Century Child,2002,Beauty Of The Beast,10,clouds their waters,clouds waters,cloud water
All this burden is killing me,Century Child,2002,Beauty Of The Beast,10,all this burden is killing me,burden killing,burden kill
"Distance is covering your way,",Century Child,2002,Beauty Of The Beast,10,distance is covering your way,distance covering way,distance cover way
Tears your memory,Century Child,2002,Beauty Of The Beast,10,tears your memory,tears memory,tear memory
All this beauty is killing me,Century Child,2002,Beauty Of The Beast,10,all this beauty is killing me,beauty killing,beauty killing
"Oh, do you care,",Century Child,2002,Beauty Of The Beast,10,oh do you care,oh care,oh care
I still feel for you,Century Child,2002,Beauty Of The Beast,10,i still feel for you,feel,feel
"So aware,",Century Child,2002,Beauty Of The Beast,10,so aware,aware,aware
What should be lost is there,Century Child,2002,Beauty Of The Beast,10,what should be lost is there,lost,lose
I fear I will never find anyone,Century Child,2002,Beauty Of The Beast,10,i fear i will never find anyone,fear find,fear find
I know my greatest pain is yet to come,Century Child,2002,Beauty Of The Beast,10,i know my greatest pain is yet to come,know greatest pain come,know great pain come
Will we find each other in the dark,Century Child,2002,Beauty Of The Beast,10,will we find each other in the dark,find dark,find dark
My long lost love,Century Child,2002,Beauty Of The Beast,10,my long lost love,long lost love,long lose love
Safely away from the world,Century Child,2002,Beauty Of The Beast,10,safely away from the world,safely away world,safely away world
"In a dream, timeless domain",Century Child,2002,Beauty Of The Beast,10,in a dream timeless domain,dream timeless domain,dream timeless domain
"A child, dreamy eyed,",Century Child,2002,Beauty Of The Beast,10,a child dreamy eyed,child dreamy eyed,child dreamy eyed
"Mother's mirror, father's pride",Century Child,2002,Beauty Of The Beast,10,mother s mirror father s pride,mother s mirror father s pride,mother s mirror father s pride
I wish I could come back to you,Century Child,2002,Beauty Of The Beast,10,i wish i could come back to you,wish come,wish come
Once again feel the rain,Century Child,2002,Beauty Of The Beast,10,once again feel the rain,feel rain,feel rain
Falling inside me,Century Child,2002,Beauty Of The Beast,10,falling inside me,falling inside,fall inside
Cleaning all that I've become,Century Child,2002,Beauty Of The Beast,10,cleaning all that i have become,cleaning,clean
My home is far but the rest it lies so close,Century Child,2002,Beauty Of The Beast,10,my home is far but the rest it lies so close,home far rest lies close,home far rest lie close
With my long lost love under the black rose,Century Child,2002,Beauty Of The Beast,10,with my long lost love under the black rose,long lost love black rose,long lose love black rise
You told I had the eyes of a wolf,Century Child,2002,Beauty Of The Beast,10,you told i had the eyes of a wolf,told eyes wolf,tell eye wolf
Search them and find the beauty of the beast,Century Child,2002,Beauty Of The Beast,10,search them and find the beauty of the beast,search find beauty beast,search find beauty beast
All of my songs can only be composed of the greatest of pains,Century Child,2002,Beauty Of The Beast,10,all of my songs can only be composed of the greatest of pains,songs composed greatest pains,song compose great pain
Every single verse can only be born of the greatest of wishes,Century Child,2002,Beauty Of The Beast,10,every single verse can only be born of the greatest of wishes,single verse born greatest wishes,single verse bear great wish
I wish I had one more night to live,Century Child,2002,Beauty Of The Beast,10,i wish i had one more night to live,wish night live,wish night live
"A saint blessed me, drank me deeply",Century Child,2002,Beauty Of The Beast,10,a saint blessed me drank me deeply,saint blessed drank deeply,saint bless drink deeply
Spitting out the misery in me,Century Child,2002,Beauty Of The Beast,10,spitting out the misery in me,spitting misery,spit misery
Still a sinner rapes a 1000 saints,Century Child,2002,Beauty Of The Beast,10,still a sinner rapes a 1000 saints,sinner rapes 1000 saints,sinn rape 1000 saint
Sharing the same hell with me,Century Child,2002,Beauty Of The Beast,10,sharing the same hell with me,sharing hell,share hell
Sanest choice in this insane world...,Century Child,2002,Beauty Of The Beast,10,sanest choice in this insane world,sanest choice insane world,sane choice insane world
Beware the beast but enjoy the feast he offers,Century Child,2002,Beauty Of The Beast,10,beware the beast but enjoy the feast he offers,beware beast enjoy feast offers,beware beast enjoy feast offer
"""Oh, sweet Christabel. Share with me your poem.",Century Child,2002,Beauty Of The Beast,10,oh sweet christabel share with me your poem,oh sweet christabel share poem,oh sweet christabel share poem
"For I know now, I'm a puppet on this silent stage show.",Century Child,2002,Beauty Of The Beast,10,for i know now i am a puppet on this silent stage show,know puppet silent stage,know puppet silent stage
I'm but a poet who failed his best play.,Century Child,2002,Beauty Of The Beast,10,i am but a poet who failed his best play,poet failed best play,poet fail good play
"A Dead Boy, who failed to write an ending",Century Child,2002,Beauty Of The Beast,10,a dead boy who failed to write an ending,dead boy failed write ending,dead boy fail write end
"To each of his poems.""",Century Child,2002,Beauty Of The Beast,10,to each of his poems,poems,poem
Ever felt away with me,Ever Dream,2002,Ever Dream,1,ever felt away with me,felt away,feel away
Just once that all I need,Ever Dream,2002,Ever Dream,1,just once that all i need,need,need
Entwined in finding you one day,Ever Dream,2002,Ever Dream,1,entwined in finding you one day,entwined finding day,entwine find day
Ever felt away without me,Ever Dream,2002,Ever Dream,1,ever felt away without me,felt away,feel away
"My love, it lies so deep",Ever Dream,2002,Ever Dream,1,my love it lies so deep,love lies deep,love lie deep
Ever dream of me,Ever Dream,2002,Ever Dream,1,ever dream of me,dream,dream
Would you do it with me,Ever Dream,2002,Ever Dream,1,would you do it with me,,
Heal the scars and change the stars,Ever Dream,2002,Ever Dream,1,heal the scars and change the stars,heal scars change stars,heal scar change star
Would you do it for me,Ever Dream,2002,Ever Dream,1,would you do it for me,,
Turn loose the heaven within,Ever Dream,2002,Ever Dream,1,turn loose the heaven within,turn loose heaven,turn loose heaven
I'd take you away,Ever Dream,2002,Ever Dream,1,i would take you away,away,away
Castaway on a lonely day,Ever Dream,2002,Ever Dream,1,castaway on a lonely day,castaway lonely day,castaway lonely day
Bosom for a teary cheek,Ever Dream,2002,Ever Dream,1,bosom for a tears cheek,bosom tears cheek,bosom tear cheek
